Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
Micro 24 Pack Croissants,La Petite Bretonne,$4.49,$2.99,$1.50,0.3341
Micro Chocolate Croissants,La Petite Bretonne,$4.49,$2.99,$1.50,0.3341
Date Medeline Squares,La Petite Bretonne,$3.99,$2.99,$1.00,0.2506
Healthy Pastry Shells,Dumas,$5.19,$3.99,$1.20,0.2312
Mini Cooked Pastry Shells,Dumas,$5.19,$3.99,$1.20,0.2312
Pastry Shells,Dumas,$5.19,$3.99,$1.20,0.2312
Everything 10 Pack Mini Bagel,Chef Frankie,$3.79,$2.99,$0.80,0.2111
Sesame 10 Pack Mini Bagel,Chef Frankie,$3.79,$2.99,$0.80,0.2111
Butter Puff Pastry Sheet,Dumas,$4.99,$3.99,$1.00,0.2004
Caramelized Onion Focaccia Bread,Compliments,$4.19,$3.49,$0.70,0.1671
8's Raisin Buns,Pom,$4.79,$3.99,$0.80,0.1670
Blueberry Muffin,FGF Muffin,$5.99,$4.99,$1.00,0.1669
Carrot Muffins,FGF Muffin,$5.99,$4.99,$1.00,0.1669
Chocolate Chip Muffins,FGF Muffins,$5.99,$4.99,$1.00,0.1669
Rectangular Original Pizza Crust,Sensations,$3.29,$2.79,$0.50,0.1520
Thin Original Pizza Crust,Sensations,$3.29,$2.79,$0.50,0.1520
Cranberry Lemon Bar,Omax,$3.99,$3.59,$0.40,0.1003
Apricot Granola Bites,Omax,$4.99,$4.49,$0.50,0.1002
Poppy Seeds Bagel,Chef Frankie,$4.29,$3.99,$0.30,0.0699
Sesame Seeds Chef Frankie,Bagel,$4.29,$3.99,$0.30,0.0699
Chocolate Truffle Gluten Free Cake,David Lumbroso,$15.99,$14.99,$1.00,0.0625
Montreal Maple Bagel,Chef Frankie,$5.29,$4.99,$0.30,0.0567
Double Chocolate Buns,La Petite Bretonne,$3.79,$3.69,$0.10,0.0264
Carrot Mini Muffins,FGF Brand,$3.89,$3.79,$0.10,0.0257
