Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
Beer,Don De Dieu,$13.99,$10.99,$3.00,0.2144
Maudite Beer,Unibroue,$13.99,$10.99,$3.00,0.2144
Strong Triple Style 9.0% alc/vol Beer,Unibroue Fin Du Monde,$13.99,$10.99,$3.00,0.2144
Trois Pistoles Beer,Unibroue,$13.99,$10.99,$3.00,0.2144
Extreme Can Beer,Tremblay,$2.49,$2.00,$0.49,0.1968
Bottles Beer,Moosehead,$11.19,$8.99,$2.20,0.1966
Strawberry Daiquiri Alcoholic Beverage,Bacardi Breezer,$3.69,$3.00,$0.69,0.1870
Extra Pale Ale 5.0% Alcohol Beer,Griffon,$10.99,$8.99,$2.00,0.1820
Deguststion Mix Pack Beer,Belgh Brasse,$21.99,$17.99,$4.00,0.1819
Boston Lager,Samuel Adams,$11.99,$9.99,$2.00,0.1668
Can Cider,Rabaska,$11.99,$9.99,$2.00,0.1668
Cherry Bottle Cider,Rabaska,$11.99,$9.99,$2.00,0.1668
Double India Pale Ale Beer 8%,St-Ambroise,$11.79,$9.99,$1.80,0.1527
IPA Des Dieux  Can Beer,Le Grimoire,$4.69,$4.00,$0.69,0.1471
Pilsner Beer,Konig,$10.49,$8.99,$1.50,0.1430
Amos Kristall Witte Beer,Bittt a Tibi,$3.49,$3.00,$0.49,0.1404
Light Cans Beer,Budweiser,$3.49,$3.00,$0.49,0.1404
Orange Can Beer,Bud Light,$3.49,$3.00,$0.49,0.1404
Original Cans Beer,Coors,$3.49,$3.00,$0.49,0.1404
Premium 5.0% Beer,BAVARIA,$3.49,$3.00,$0.49,0.1404
Radler Beer,Bud Light,$3.49,$3.00,$0.49,0.1404
Red Beer,Rickard's,$3.49,$3.00,$0.49,0.1404
Super Can Beer,Budweiser,$3.49,$3.00,$0.49,0.1404
4% Beer,Coors Light,$37.99,$32.99,$5.00,0.1316
4% Alcohol Beer,Coors Light,$11.49,$9.99,$1.50,0.1305
5.5% Alcohol Beer,Molson Dry,$11.49,$9.99,$1.50,0.1305
Bottles Beer,Heineken,$13.49,$11.99,$1.50,0.1112
Keg Beer,Heineken,$13.49,$11.99,$1.50,0.1112
Apple Beer,Bud Light,$18.99,$16.99,$2.00,0.1053
Assorted Beer,BDM,$18.99,$16.99,$2.00,0.1053
Beer,Belgian Moon,$18.99,$16.99,$2.00,0.1053
Bottles Beer,Molson Ultra,$18.99,$16.99,$2.00,0.1053
Bottles Pale Ale,Alexander Keith's,$18.99,$16.99,$2.00,0.1053
Cans Beer,Michelob Ultra,$18.99,$16.99,$2.00,0.1053
Cans Beer,Molson Ultra,$18.99,$16.99,$2.00,0.1053
Lime Cans Beer,Bud Light,$18.99,$16.99,$2.00,0.1053
Matante Cans Beer,Archibald,$18.99,$16.99,$2.00,0.1053
Mix Beer,Archibald,$18.99,$16.99,$2.00,0.1053
Mix Beer,Archibald,$18.99,$16.99,$2.00,0.1053
Mix Joufflue Beer Beer,Mix Joufflue Beer,$18.99,$16.99,$2.00,0.1053
Original Cans Beer,Coors,$18.99,$16.99,$2.00,0.1053
Red Amber Ale Bottle Beer,Alexander Keith's,$18.99,$16.99,$2.00,0.1053
White Cans Beer,Belgian Moon,$18.99,$16.99,$2.00,0.1053
Mix Connaisseur,Brasseurs De Monde,$23.99,$21.49,$2.50,0.1042
Iced Tea Original Alcoholic Beverage,Twisted Tea,$19.99,$17.99,$2.00,0.1001
IPA La Pinte Beer,Brasseurs du Monde,$4.99,$4.50,$0.49,0.0982
Tripel Hops Beer,Brasseurs du Monde,$4.99,$4.50,$0.49,0.0982
Can Original Beer,Belle Gueule,$2.49,$2.25,$0.24,0.0964
Beer,Cheval Blanc,$10.99,$9.99,$1.00,0.0910
Beer,Harp,$10.99,$9.99,$1.00,0.0910
Beer,Hop House,$10.99,$9.99,$1.00,0.0910
Cream Ale Beer,Kilkenny,$10.99,$9.99,$1.00,0.0910
Cans Beer,Molson Canadian,$3.29,$3.00,$0.29,0.0881
5.5% Beer,Ephemere,$11.99,$10.99,$1.00,0.0834
a tout Le Monde Beer,Unibroue,$11.99,$10.99,$1.00,0.0834
Autre Chose Peach Beer,Unibroue,$11.99,$10.99,$1.00,0.0834
Beer,Belgian Moon,$11.99,$10.99,$1.00,0.0834
Beer,Blanche De Chambly,$11.99,$10.99,$1.00,0.0834
Blonde de Chambly,Unibroue,$11.99,$10.99,$1.00,0.0834
Bottle Beer,Raftman,$11.99,$10.99,$1.00,0.0834
Loxley Cans Beer,BDM,$11.99,$10.99,$1.00,0.0834
Saison 13 Beer,Unibroue,$11.99,$10.99,$1.00,0.0834
Saison 13 Bottle Beer,Unibroue,$11.99,$10.99,$1.00,0.0834
Strawberry Rhubarb Beer,Ephemere,$11.99,$10.99,$1.00,0.0834
white ale 5% alcohol Beer,Unibroue Blanche de Chambly,$11.99,$10.99,$1.00,0.0834
Cans 5.2% Beer,Labatt 50,$18.49,$16.99,$1.50,0.0811
4.5% Beet Moretti,Molson,$12.99,$11.99,$1.00,0.0770
4.7% alc/vol Beer,New Castle,$12.99,$11.99,$1.00,0.0770
Bottles Lager,Dos Equis,$12.99,$11.99,$1.00,0.0770
Cans Beer 5%,Heineken,$12.99,$11.99,$1.00,0.0770
Lager Beer 4.5%,DOS EQUIS,$12.99,$11.99,$1.00,0.0770
Mini Keg Beer,Heineken,$29.99,$27.99,$2.00,0.0667
India Session Ale Des Chutes Can 3.7% ALC/Vol Arti...,Boreale,$3.49,$3.29,$0.20,0.0573
