Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
Original 6 Pack English Muffins,Compliments,$2.49,$1.50,$0.99,0.3976
Whole Wheat English Muffins,Compliments,$2.49,$1.50,$0.99,0.3976
Moisture 12's Buns,Pom,$4.29,$2.75,$1.54,0.3590
Moisture 12's Buns,Pom,$4.29,$2.75,$1.54,0.3590
Oven Fresh Single White Baguette,Dempster's,$2.29,$1.50,$0.79,0.3450
Little Bites Banana Muffins,Sara Lee,$4.19,$3.00,$1.19,0.2840
Little Bites Blueberry Muffins,Sara Lee,$4.19,$3.00,$1.19,0.2840
Little Bites Chocolate Chip Muffins,Sara Lee,$4.19,$3.00,$1.19,0.2840
1/2 Jos Louis,Vachon,$3.99,$3.00,$0.99,0.2481
6 Pack Jelly Log,Vachon,$3.99,$3.00,$0.99,0.2481
6 Pack Maple Log,Vachon,$3.99,$3.00,$0.99,0.2481
Brownies,Vachon,$3.99,$3.00,$0.99,0.2481
Crispy Snack,Vachon,$3.99,$3.00,$0.99,0.2481
Granny's Butter Raisin Tarts,Vachon,$3.99,$3.00,$0.99,0.2481
Granny's Pecan F6 Tarts,Vachon,$3.99,$3.00,$0.99,0.2481
sugar Granny's tarts,Vachon,$3.99,$3.00,$0.99,0.2481
Raisin Cinnamon Swirl Bread,Sun-Maid,$4.99,$3.99,$1.00,0.2004
white Tortillas,Pom,$4.29,$3.79,$0.50,0.1166
italian style Hot dog rolls,Villaggio,$3.69,$3.59,$0.10,0.0271
italian style Villagio hamburger buns,Pom,$3.69,$3.59,$0.10,0.0271
Toscana Crustini Buns,Villagio,$3.69,$3.59,$0.10,0.0271
Toscana Hot Dog Buns,Villaggio,$3.69,$3.59,$0.10,0.0271
