Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
Classic Soft Drink,Coca-Cola,$2.69,$0.95,$1.74,0.6468
Club Soda Soft Drink,Canada Dry,$2.69,$0.95,$1.74,0.6468
Diet Caffeine Free Soft Drink,Coca-Cola,$2.69,$0.95,$1.74,0.6468
Diet Ginger Ale Soft Drink,Canada Dry,$2.69,$0.95,$1.74,0.6468
Diet Soft Drink,Coca-Cola,$2.69,$0.95,$1.74,0.6468
Ginger Ale Soft Drink,Canada Dry,$2.69,$0.95,$1.74,0.6468
Orange Soft Drink,Fanta,$2.69,$0.95,$1.74,0.6468
Soft Drink,Sprite,$2.69,$0.95,$1.74,0.6468
Sugar Free Soft Drink,Fresca,$2.69,$0.95,$1.74,0.6468
Zero Soft Drink,Coca-Cola,$2.69,$0.95,$1.74,0.6468
Zero Soft Drink,Sprite,$2.69,$0.95,$1.74,0.6468
Ham Canned Meat,Maple Leaf,$9.79,$4.49,$5.30,0.5414
Dark Roast Coffee,Maxwell House,$13.99,$6.97,$7.02,0.5018
Decaffeinated Coffee,Maxwell House,$13.99,$6.97,$7.02,0.5018
Original Roast Coffee,Maxwell House,$13.99,$6.97,$7.02,0.5018
Celebration 45% Chocolate Top Butter Cookies,Leclerc,$3.49,$1.77,$1.72,0.4928
Celebration Caramel Milk Chocolate Butter Cookies,Leclerc,$3.49,$1.77,$1.72,0.4928
Celebration Chocolate 45% Mint Trifle Cookies,Leclerc,$3.49,$1.77,$1.72,0.4928
Celebration Maple Leaf Cookies,Leclerc,$3.49,$1.77,$1.72,0.4928
Celebration Milk Chocolate Top Butter Cookies,Leclerc,$3.49,$1.77,$1.72,0.4928
Celebration Raspberry Milk Chocolate Coated Butter...,Leclerc,$3.49,$1.77,$1.72,0.4928
Celebration Truffle Limited Edition Cookies,Leclerc,$3.49,$1.77,$1.72,0.4928
Celebration Vanilla Butter Cookies,Leclerc,$3.49,$1.77,$1.72,0.4928
Chocolate Top Butter Cookies,Leclerc,$3.49,$1.77,$1.72,0.4928
Chocolate Topped Butter Cookie Celebration,Leclerc,$3.49,$1.77,$1.72,0.4928
Coffee Coated Celebration Wafer,Leclerc,$3.49,$1.77,$1.72,0.4928
Dark Chocolate Coated Celebration Cookie Stick,Leclerc,$3.49,$1.77,$1.72,0.4928
Graham Coated Celebration Cookie,Leclerc,$3.49,$1.77,$1.72,0.4928
Maple Milk Chocolate Coated Celebration Cookie,Leclerc,$3.49,$1.77,$1.72,0.4928
Milk Chocolate Coated Celebration Cookie Stick,Leclerc,$3.49,$1.77,$1.72,0.4928
Oatmeal Milk Chocolate Celebration Cookie,Leclerc,$3.49,$1.77,$1.72,0.4928
2 Ply 253 Sheets Bathroom Tissue,Royale,$10.99,$5.99,$5.00,0.4550
Strong 3Ply 165 Sheet Bathroom Tissue,Royale,$10.99,$5.99,$5.00,0.4550
Velour Double Roll 2 Ply 142 Sheets Bathroom Tissu...,Royale,$10.99,$5.99,$5.00,0.4550
bleach bathroom cleaner,HERTEL,$3.59,$1.99,$1.60,0.4457
Spray Bathroom Cleaner,Hertel,$3.59,$1.99,$1.60,0.4457
Smartwater,Glaceau,$2.79,$1.59,$1.20,0.4301
Monaco Chessman Cookies,Pepperidge Farm,$3.49,$1.99,$1.50,0.4298
Monaco Double Chocolate Cookies,Pepperidge Farm,$3.49,$1.99,$1.50,0.4298
Monaco Mint Cookies,Pepperidge Farm,$3.49,$1.99,$1.50,0.4298
Sausalito Macadamia Cookies,Pepperidge Farm,$3.49,$1.99,$1.50,0.4298
Strawberry Cookies,Pepperidge Farm,$3.49,$1.99,$1.50,0.4298
Encore Instant Coffee,Nescafe,$6.99,$3.99,$3.00,0.4292
Rich Colombian Instant Coffee,Nescafe,$6.99,$3.99,$3.00,0.4292
Rich Decaffeinated Instant Coffee,Nescafe,$6.99,$3.99,$3.00,0.4292
Rich French Vanilla Instant Coffee,Nescafe,$6.99,$3.99,$3.00,0.4292
Rich Hazelnut Instant Coffee,Nescafe,$6.99,$3.99,$3.00,0.4292
Rich Instant Coffee,Nescafe,$6.99,$3.99,$3.00,0.4292
Tasters Choice Classic Instant Coffee,Nescafe,$6.99,$3.99,$3.00,0.4292
Tasters Choice Decaffeinated Instant Coffee,Nescafe,$6.99,$3.99,$3.00,0.4292
Cheez Whiz,Kraft,$10.49,$5.99,$4.50,0.4290
Light Cheez Whiz,Kraft,$10.49,$5.99,$4.50,0.4290
Black Sesame Brown Rice Crisps,SuperSlim,$3.49,$2.00,$1.49,0.4269
Orange Pekoe Tea,Salada,$10.29,$5.99,$4.30,0.4179
Cheddar Goldfish Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Colors Goldfish Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Extra Cheddar Pretzel Goldfish Mixups,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Goldfish Blasted Explosive Pizza Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Goldfish Blasted Extreme Cheddar Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Goldfish Cheddar Colours Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Goldfish Cheese Trio Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Goldfish Flavour Blasted Nacho Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Goldfish Flavour Blasted Salt & Vinegar Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Goldfish Pretzel Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Goldfish Slamming Sour Cream & Onion Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Goldfish Veggies & Fruit Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Goldfish Whole Grain Cheddar Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Pizza & Parmesan Goldfish Mixups,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Snack Pack Goldfish Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Vanilla Cupcake Goldfish Grahams,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
White Cheddar Goldfish Crackers,Pepperidge Farm,$3.39,$1.99,$1.40,0.4130
Tiger Towel 2 Ply 55 Sheets Paper Towels,Royale,$9.99,$5.99,$4.00,0.4004
Roast Garlic Tomato Sauce,Hunt's,$2.49,$1.50,$0.99,0.3976
Tomato Onion Herbs & Spices Sauce,Hunt's,$2.49,$1.50,$0.99,0.3976
Tomato Paste,Hunt's,$2.49,$1.50,$0.99,0.3976
Ultra Antibacterial Orange Dish Detergent,Dawn,$3.29,$1.99,$1.30,0.3951
Ultra Lemon Dish Detergent,Dawn,$3.29,$1.99,$1.30,0.3951
Ultra Liquid Apple Blossom Anti-Bacterial Dish Det...,Dawn,$3.29,$1.99,$1.30,0.3951
Ultra Medium Lavender Dish Detergent,Dawn,$3.29,$1.99,$1.30,0.3951
Ultra Original Dish Detergent,Dawn,$3.29,$1.99,$1.30,0.3951
Black Silk Ground Coffee,Folgers,$11.49,$6.97,$4.52,0.3934
Classic Roast Coffee,Folgers,$11.49,$6.97,$4.52,0.3934
Decaffeinated Coffee,Folgers,$11.49,$6.97,$4.52,0.3934
Intensely Dark Ground Coffee,Folgers,$11.49,$6.97,$4.52,0.3934
Chicken and Rice Soup,Habitant,$2.69,$1.66,$1.03,0.3829
Chicken Egg Noodle Soup,Habitant,$2.69,$1.66,$1.03,0.3829
French Canadian Pea Soup,Habitant,$2.69,$1.66,$1.03,0.3829
Garden Vegetable Style Soup,Habitant,$2.69,$1.66,$1.03,0.3829
Ham And Pea Soup,Habitant,$2.69,$1.66,$1.03,0.3829
Peas And Vegetable Soup,Habitant,$2.69,$1.66,$1.03,0.3829
Traditional Minestrone Soup,Habitant,$2.69,$1.66,$1.03,0.3829
strained Tomatoes,Pastene,$3.19,$1.99,$1.20,0.3762
Extra Buttery 6 Pack Popcorn,Orville Redenbacher,$5.59,$3.50,$2.09,0.3739
Organic Coconut Milk,Thai Kitchen,$3.99,$2.50,$1.49,0.3734
Chocolate Banana Nut Bars,Kashi,$1.99,$1.25,$0.74,0.3719
Cranberry Almond Nut Breakfast Bar,Kashi,$1.99,$1.25,$0.74,0.3719
Dark Chocolate Espresso Nut Bars,Kashi,$1.99,$1.25,$0.74,0.3719
Joi Almond Dark Chocolate Mint Bar,Kashi,$1.99,$1.25,$0.74,0.3719
Pistachio Fig Lemon Bars,Kashi,$1.99,$1.25,$0.74,0.3719
Raspberry Dark Chocolate Hazelnut Bars,Kashi,$1.99,$1.25,$0.74,0.3719
