Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
Chocolate Eagle Meal Replacement,Ensure,$12.49,$8.99,$3.50,0.2802
Strawberry Eagle Meal Replacement,Ensure,$12.49,$8.99,$3.50,0.2802
Vanilla Plus calories Meal Replacement,Ensure,$12.49,$8.99,$3.50,0.2802
Boost High Protein Chocolate Powder,Nestle,$12.49,$9.99,$2.50,0.2002
Vanilla Pudding,Boost,$12.49,$9.99,$2.50,0.2002
Endurance Chocolate  Banana Bar,Kronobar,$35.99,$29.49,$6.50,0.1806
Endurance Chocolate Mint Bar,Kronobar,$35.99,$29.49,$6.50,0.1806
Endurance Mango & Lemon Bar,Kronobar,$35.99,$29.49,$6.50,0.1806
Energy Apricot Cranberry Bar,Kronobar,$35.99,$29.49,$6.50,0.1806
Energy Chocolate & Expresso Bar,Kronobar,$35.99,$29.49,$6.50,0.1806
Energy Coconut & Cherry Bar,Kronobar,$35.99,$29.49,$6.50,0.1806
Protein Chocolate & Avocado Bar,Kronobar,$35.99,$29.49,$6.50,0.1806
Protein Pear & Maple Bar,Kronobar,$35.99,$29.49,$6.50,0.1806
Protein Salted Caramel Bar,Kronobar,$35.99,$29.49,$6.50,0.1806
Endurance Chocolate  Banana Bar,Kronobar,$2.99,$2.50,$0.49,0.1639
Endurance Chocolate Mint Bar,Kronobar,$2.99,$2.50,$0.49,0.1639
Endurance Mango & Lemon Bar,Kronobar,$2.99,$2.50,$0.49,0.1639
Energy Apricot Cranberry Bar,Kronobar,$2.99,$2.50,$0.49,0.1639
Energy Chocolate & Expresso Bar,Kronobar,$2.99,$2.50,$0.49,0.1639
Energy Coconut & Cherry Bar,Kronobar,$2.99,$2.50,$0.49,0.1639
Protein Chocolate & Avocado Bar,Kronobar,$2.99,$2.50,$0.49,0.1639
Protein Pear & Maple Bar,Kronobar,$2.99,$2.50,$0.49,0.1639
Protein Salted Caramel Bar,Kronobar,$2.99,$2.50,$0.49,0.1639
Mentho Lyptus Honey Lemon Bag Cough Drops,Halls,$3.49,$2.99,$0.50,0.1433
Fermented Unflavoured Superfood,Genuine Health,$22.99,$19.99,$3.00,0.1305
Blueberry Oat Protein Bar,Vega,$38.99,$34.99,$4.00,0.1026
Blueberry Oat Protein Bar,Vega,$3.29,$2.99,$0.30,0.0912
vanilla Proteins,Genuine Health Proteins+,$34.99,$31.99,$3.00,0.0857
Sport Crunchy Peanut Butter Protein Bar,Vega,$46.99,$42.99,$4.00,0.0851
Fermented Vegan Unflavoured Proteins,Genuine Health,$48.99,$44.99,$4.00,0.0816
Fermented Vegan Vanilla Proteins,Genuine Health,$48.99,$44.99,$4.00,0.0816
Sport Hydrator Lemon Lime Electrolyte Powder,Vega,$29.19,$26.99,$2.20,0.0754
Sport Crunchy Peanut Butter Protein Bar,Vega,$3.99,$3.69,$0.30,0.0752
