Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
Pearl Coucous Salad,Fontaine Sante,$4.79,$3.49,$1.30,0.2714
Quinoa and Edamame Taboule,Fontaine Sante,$4.79,$3.49,$1.30,0.2714
Yellow Beet and quinoa Salad,Fontaine Sante,$4.79,$3.49,$1.30,0.2714
Black Bean Hummus,Lantana,$5.29,$3.99,$1.30,0.2457
Cauliflower Hummus,Lantana,$5.29,$3.99,$1.30,0.2457
Red Pepper and Edamame Hummus,Lantana,$5.29,$3.99,$1.30,0.2457
Roasted Garlic Hummus,Lantana,$5.29,$3.99,$1.30,0.2457
Sriracha Carrot Hummus,Lantana,$5.29,$3.99,$1.30,0.2457
Yellow Lentil Hummus,Lantana,$5.29,$3.99,$1.30,0.2457
Potato Gnocchi Pasta,O'Sole Mio,$4.29,$3.29,$1.00,0.2331
Maple And Rosemary Mayonnaise,Chez Victor,$4.79,$3.79,$1.00,0.2088
Chicken And Sauce Vietroll,O Mets Chinois,$6.29,$4.99,$1.30,0.2067
Barbeque Sauce,St-Hubert,$2.49,$1.99,$0.50,0.2008
Chicken Hot Sauce,St-Hubert,$2.49,$1.99,$0.50,0.2008
Creamy Coleslaw,Cest Pret,$2.49,$1.99,$0.50,0.2008
Grab N Go Classic Pretzels Hummus,Sabra,$2.49,$1.99,$0.50,0.2008
Macaroni Salad,Cest Pret,$2.49,$1.99,$0.50,0.2008
Potato Salad,CestPret,$2.49,$1.99,$0.50,0.2008
Poutine Sauce,St-Hubert,$2.49,$1.99,$0.50,0.2008
Regular Coleslaw,Cest Pret,$2.49,$1.99,$0.50,0.2008
Traditional + Crackers Mini hummus,Fontaine Sante,$2.49,$1.99,$0.50,0.2008
White Coleslaw,Cest Pret,$2.49,$1.99,$0.50,0.2008
Alfredo Pasta Sauce,O'Sole Mio,$4.99,$3.99,$1.00,0.2004
Arrabbiata Pasta Sauce,O' Sole Mio,$4.99,$3.99,$1.00,0.2004
