Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
Moro Blood Oranges,Sunkist Growers inc,$5.29,$1.66,$3.63,0.6862
1 EA Sweet,Red Peppers,$5.49,$2.00,$3.49,0.6357
Sweet Apple Cider,Tradition,$1.49,$0.99,$0.50,0.3356
In Oil Chopped Garlic,Derlea,$4.49,$2.99,$1.50,0.3341
Avocado Cilantro OPA Dressing,Litehouse,$4.49,$3.00,$1.49,0.3318
Beet Fettucine,Florettes,$4.49,$3.00,$1.49,0.3318
Blue Cheese Dressing,Litehouse,$4.49,$3.00,$1.49,0.3318
Carrot Fettucine,Florettes,$4.49,$3.00,$1.49,0.3318
Chipotle Ranch Veggie Dip,Litehouse,$4.49,$3.00,$1.49,0.3318
Cream Cheesecake Opadipity,Litehouse,$4.49,$3.00,$1.49,0.3318
Dilly Dip Dressing,Litehouse,$4.49,$3.00,$1.49,0.3318
Homestyle Ranch Dressing,Litehouse,$4.49,$3.00,$1.49,0.3318
OPA Tzatziki Ranch Dressing,Litehouse,$4.49,$3.00,$1.49,0.3318
Opadipity Cucumber Dill Vegetable Dip,Litehouse Foods Inc,$4.49,$3.00,$1.49,0.3318
Opadipity Ranch Vegetable Dip,Litehouse Foods,$4.49,$3.00,$1.49,0.3318
Romano Caesar Dressing,Litehouse,$4.49,$3.00,$1.49,0.3318
Strawberry Opadipity,Litehouse,$4.49,$3.00,$1.49,0.3318
Turnip Fettucine,Florettes,$4.49,$3.00,$1.49,0.3318
Organic Shoot Peas,Pousse Vert,$3.59,$2.50,$1.09,0.3036
Organic Sprout Radish and Alfalfa,Pousse Vert,$3.59,$2.50,$1.09,0.3036
Organic Sunflower Grows,Pousse Vert,$3.59,$2.50,$1.09,0.3036
Organic Oyster Mushrooms,Compliments,$3.99,$2.79,$1.20,0.3008
Angel Sweet Tomatoes Tomatoes,Compliments,$4.99,$3.49,$1.50,0.3006
Red Grape Tomatoes,Tomz,$4.99,$3.49,$1.50,0.3006
Red Cherry Tomatoes,Tomz,$9.99,$6.99,$3.00,0.3003
Tomatoes Candi-to Mini Sweet Tomatoes,Compliments,$9.99,$6.99,$3.00,0.3003
Garden Veggie Crumble,Yves Veggie Cusine,$4.99,$3.50,$1.49,0.2986
Italian Veggie Ground Round,Yves Veggie Cuisine,$4.99,$3.50,$1.49,0.2986
