Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
Singles 44 Pack Cheese Slices,Kraft,$10.99,$4.97,$6.02,0.5478
Singles Light 44 Pack Cheese Slices,Kraft,$10.99,$4.97,$6.02,0.5478
Thick 28 Pack Cheese Slices,Kraft,$10.99,$4.97,$6.02,0.5478
Thin Slices 44 Pack Cheese,Velveeta,$10.99,$4.97,$6.02,0.5478
Velveeta Cheese,Kraft,$11.49,$5.99,$5.50,0.4787
Amooza Mozarella Cheddar Twists Cheese,Kraft,$6.29,$3.99,$2.30,0.3657
Amooza Mozzarella Twists Cheese,Kraft,$6.29,$3.99,$2.30,0.3657
Assorted Source Yogurt,Yoplait,$7.79,$4.99,$2.80,0.3594
Creamy Assorted Yogurt,Yoplait,$7.79,$4.99,$2.80,0.3594
Creamy Duo Assorted Yogurt,Yoplait,$7.79,$4.99,$2.80,0.3594
Creamy Tropical Yogurt,Yoplait,$7.79,$4.99,$2.80,0.3594
Dessert Selections Source Yogurt,Yoplait,$7.79,$4.99,$2.80,0.3594
Orchard Fruit Yogurt,Yoplait,$7.79,$4.99,$2.80,0.3594
Source Assorted Yogurt,Yoplait,$7.79,$4.99,$2.80,0.3594
Source Blueberry Blackberry Strawberry Yogurt,Yoplait,$7.79,$4.99,$2.80,0.3594
Source Strawberry Field Berry Peach Raspberry Yogu...,Yoplait,$7.79,$4.99,$2.80,0.3594
Source Strawberry Raspberry Blueberry Cherry Yogur...,Yoplait,$7.79,$4.99,$2.80,0.3594
Source Super Fruit Assorted Flavour Yogurt,Yoplait,$7.79,$4.99,$2.80,0.3594
Chocolate 1% Milk,Quebon,$2.29,$1.50,$0.79,0.3450
Chocolate Milk,Quebon,$2.29,$1.50,$0.79,0.3450
Dark Chocolate Milk,Natrel,$3.79,$2.49,$1.30,0.3430
Caramel Mediterranee Yogurt,Liberte,$4.49,$2.99,$1.50,0.3341
Mediterranean Limited Edition 9% m.g. Yogurt 9%,Liberte,$4.49,$2.99,$1.50,0.3341
Mediterranean Strawberry Yogurt,Liberte,$4.49,$2.99,$1.50,0.3341
Mediterranee Black Cherry Yogurt,Liberte,$4.49,$2.99,$1.50,0.3341
Mediterranee Lemon Yogurt,Liberte,$4.49,$2.99,$1.50,0.3341
Mediterranee Mocha Yogurt,Liberte,$4.49,$2.99,$1.50,0.3341
Medium Cheddar Cheese,Natrel,$4.49,$2.99,$1.50,0.3341
Cheddar Medium Cheese Slices,Cracker Barrel,$5.99,$3.99,$2.00,0.3339
Marble Cheese Slices,Cracker Barrel,$5.99,$3.99,$2.00,0.3339
Medium White Cheddar Cheese Slices,P'tit Québec,$5.99,$3.99,$2.00,0.3339
Montery Jack With Jalapeno Cheese Slices,Cracker Barrel,$5.99,$3.99,$2.00,0.3339
Mozzarella Cheese Slices,P'tit Quebec,$5.99,$3.99,$2.00,0.3339
Old Cheddar White Cheese Slices,Cracker Barrel,$5.99,$3.99,$2.00,0.3339
PTIT QC Swiss Slices,P'TIT,$5.99,$3.99,$2.00,0.3339
Activia Apple Apricot Mango Peach Yogurt,Danone,$7.49,$4.99,$2.50,0.3338
Activia Fat Free Strawberry Raspberry Vanilla Peac...,Danone,$7.49,$4.99,$2.50,0.3338
Activia Lactose Free Yogurt,Danone,$7.49,$4.99,$2.50,0.3338
Activia Raspberry Strawberry Blueberry Peach Yogur...,Danone,$7.49,$4.99,$2.50,0.3338
Activia Strawberry Peach Mango Blueberry Lactose F...,Danone,$7.49,$4.99,$2.50,0.3338
Activia Strawberry Yogurt,Danone,$7.49,$4.99,$2.50,0.3338
Activia Vanilla Cereal Blueberry/Strawberry/Kiwi/P...,Danone,$7.49,$4.99,$2.50,0.3338
Plain 0% Greek Yogurt,Skotidakis,$7.29,$4.99,$2.30,0.3155
Moostache 1% Chocolate Milk Milk,Natrel,$5.79,$3.99,$1.80,0.3109
Drinkable Tropical 2% MF Yogurt,YOP,$1.29,$0.89,$0.40,0.3101
Limited Edition Yop Drinkable Yogurt,Yoplait,$1.29,$0.89,$0.40,0.3101
Yop Blueberry Drinkable Yogurt,Yoplait,$1.29,$0.89,$0.40,0.3101
Yop Peach Tropixs Drinkable Yogurt,Yoplait,$1.29,$0.89,$0.40,0.3101
Yop Raspberry Drinkable Yogurt,Yoplait,$1.29,$0.89,$0.40,0.3101
Yop Strawberry Drinkable Yogurt,Yoplait,$1.29,$0.89,$0.40,0.3101
Yop Strawberry Drinkable Yogurt,Yoplait,$1.29,$0.89,$0.40,0.3101
Yop Vanilla Drinkable Yogurt,Yoplait,$1.29,$0.89,$0.40,0.3101
All Natural Plain Yogurt,Danone,$4.29,$2.99,$1.30,0.3030
Canadian Harvest Cherries 3.2% Yogurt,IOGO,$4.19,$2.99,$1.20,0.2864
Canadian Harvest Maple Syrup 3.2% Yogurt,IOGO,$4.19,$2.99,$1.20,0.2864
Canadian Harvest Plain 3.8% Yogurt,IOGO,$4.19,$2.99,$1.20,0.2864
Coconut 3% Greek Yogurt,Liberte,$6.99,$4.99,$2.00,0.2861
Greek Vanilla 0% Milk Fat Yogurt,Liberte,$6.99,$4.99,$2.00,0.2861
Greek Vanilla Bean Yogurt,Liberte,$6.99,$4.99,$2.00,0.2861
Lactose Free 0% Greek Yogurt,Liberte,$6.99,$4.99,$2.00,0.2861
Lactose Free Vanilla 0% Greek Yogurt,Liberte,$6.99,$4.99,$2.00,0.2861
Mozzarella Cheese,Nano,$6.99,$4.99,$2.00,0.2861
Plain 0% MF Greek Yogurt,Liberte,$6.99,$4.99,$2.00,0.2861
Plain 2% Greek Yogurt,Liberte,$6.99,$4.99,$2.00,0.2861
Plain 5% MF Greek Yogurt,Liberte,$6.99,$4.99,$2.00,0.2861
SKYR 0% Vanilla Yogurt,Skotidakis,$6.99,$4.99,$2.00,0.2861
Strawberry 2% Greek Yogurt,Liberte,$6.99,$4.99,$2.00,0.2861
Vanilla 3% Greek Yogurt,Liberte,$6.99,$4.99,$2.00,0.2861
2 %  MF Fine Filtered Chocolate Milk,Natrel,$5.99,$4.29,$1.70,0.2838
Irish Cream Cafe Milk/Cream Blend,Natrel,$3.19,$2.29,$0.90,0.2821
1 % Chocolate Milk,Natrel,$2.49,$1.79,$0.70,0.2811
2% Lactose Free Milk,Natrel,$2.49,$1.79,$0.70,0.2811
Lactose Free Chocolate Milk,Natrel,$2.49,$1.79,$0.70,0.2811
Lemonade Juice,Simply Lemonade,$5.49,$3.99,$1.50,0.2732
Pulp Free Orange Juice,Simply Orange,$5.49,$3.99,$1.50,0.2732
Dairy Free Plain Yogurt,Liberte,$6.79,$4.99,$1.80,0.2651
Dairy Free Raspberry Yogurt,Liberte,$6.79,$4.99,$1.80,0.2651
Dairy Free Vanilla Yogurt,Liberte,$6.79,$4.99,$1.80,0.2651
Anchovy Paste,Gia,$3.19,$2.39,$0.80,0.2508
Classic Lactose Free Vanilla Yogurt,Liberte,$3.99,$2.99,$1.00,0.2506
Classic Lemon Yogurt,Liberte,$3.99,$2.99,$1.00,0.2506
Classic Plain Yogurt,Liberte,$3.99,$2.99,$1.00,0.2506
Classique Blackberry Yogurt,Liberte,$3.99,$2.99,$1.00,0.2506
Classique Cafe Latte Yogurt,Liberte,$3.99,$2.99,$1.00,0.2506
Classique Maple Yogurt,Liberte,$3.99,$2.99,$1.00,0.2506
Classique Plain Lactose Free Yogurt,Liberte,$3.99,$2.99,$1.00,0.2506
Classique Plain Yogurt,Liberte,$3.99,$2.99,$1.00,0.2506
Classique Raspberry Yogurt,Liberte,$3.99,$2.99,$1.00,0.2506
Classique Strawberry Yogurt,Liberte,$3.99,$2.99,$1.00,0.2506
Classique Vanilla Yogurt,Liberte,$3.99,$2.99,$1.00,0.2506
Mozzarella Cheese,Nano,$3.99,$2.99,$1.00,0.2506
Nano Mozzarella Cheese Rolls,Iogo,$3.99,$2.99,$1.00,0.2506
S'mores Refrigerated Ready to Eat Pudding,Hershey's,$3.99,$2.99,$1.00,0.2506
soft Spread,Lactantia,$3.99,$2.99,$1.00,0.2506
Morning Strawberry Dragon Fruit Smoothie,Oasis,$4.49,$3.49,$1.00,0.2227
