Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
Flakes Crab Delectables,Clover Leaf,$3.99,$2.50,$1.49,0.3734
Flakes Lobster Delectables,Clover Leaf,$3.99,$2.50,$1.49,0.3734
Leg Crab Delectables,Clover Leaf,$3.99,$2.50,$1.49,0.3734
Frozen Farm 41/50 Shrimp,Blue Tide,$8.99,$5.99,$3.00,0.3337
Crab Spread,Malimousse,$3.49,$2.50,$0.99,0.2837
Homard Spread,Malimousse,$3.49,$2.50,$0.99,0.2837
Shrimp Spread,Malimousse,$3.49,$2.50,$0.99,0.2837
Smoked Salmon Spread,Malimousse,$3.49,$2.50,$0.99,0.2837
Taramasalata,Malimousse,$3.49,$2.50,$0.99,0.2837
Trout Spread,Malimousse,$3.49,$2.50,$0.99,0.2837
Loins Pacific Pink Wild Salmon,Compliments,$6.99,$5.49,$1.50,0.2146
Wild Atlantic Loins Haddock,Compliments,$6.99,$5.49,$1.50,0.2146
Wild Pacific Cod Loins,Compliments,$6.99,$5.49,$1.50,0.2146
Poke Crevettes Sushi,Yuzu,$13.95,$10.99,$2.96,0.2122
Smoked Coho Salmon,Vasco,$18.99,$14.99,$4.00,0.2106
Pan Sear Mediterranean Wild Pacific Salmon,High Liner,$14.99,$11.99,$3.00,0.2001
Pan Seared Garlic Herb Haddock,High Liner,$14.99,$11.99,$3.00,0.2001
Sailor's Coquille,Aliments Pasta-Mer,$4.29,$3.49,$0.80,0.1865
Cubes Atlantic Salmon,Grizzly,$10.99,$8.99,$2.00,0.1820
Haddock Fish Sticks,Blue Water,$9.49,$7.99,$1.50,0.1581
Lemon Herb Fish Fillets,Blue Water,$9.49,$7.99,$1.50,0.1581
Sliced & Smoked Salmon Duo,Grizzly,$15.99,$13.49,$2.50,0.1563
Breaded Popcorn Shrimp,BlueWater Seafoods,$8.99,$7.99,$1.00,0.1112
Sensations Vietnamese-Style Shrimp Spring Rolls,Compliments,$8.99,$7.99,$1.00,0.1112
Tilapia Fillet,SEA DELIGHT,$8.37,$7.53,$0.84,0.1004
Breaded Haddock Bites,High Liner,$9.99,$8.99,$1.00,0.1001
Cold Smoked Atlantic Salmon,Sushi maison,$9.99,$8.99,$1.00,0.1001
Hot Smoked Maple Salmon Nugget,Sushi Maison,$9.99,$8.99,$1.00,0.1001
Soya Dip With Jumbo Shrimp,Sensations,$9.99,$8.99,$1.00,0.1001
Northern Shrimps,Shrimps,$10.99,$9.99,$1.00,0.0910
Sliced Smoked Salmon,Fumoir St-Antoine Inc.,$10.99,$9.99,$1.00,0.0910
Haddock Fillets,High Liner,$9.69,$8.99,$0.70,0.0722
Seafood Crepes,Aliments Pasta-Mer,$6.99,$6.49,$0.50,0.0715
Crab Meat,Crab Meat Of St-Laurent,$19.99,$18.99,$1.00,0.0500
Fish Atlantic Portion Cod,Cod,$12.49,$11.99,$0.50,0.0400
Breaded Coconut Shrimp,Sensations,$9.29,$8.99,$0.30,0.0323
